Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.4,0.68,0.95,0.66,1.59,0.63,2.39,0.58
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD",Steel,PGA,Three,Continuous,unknown,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.32,0.82,0.72,0.8,1.22,0.81,1.82,0.8
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.14,0.67,0.33,0.61,0.44,0.63,0.59,0.65
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD",Steel,PGA,Three,Continuous,unknown,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.12,0.86,0.29,0.89,0.4,0.92,0.57,0.97
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=8",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.396,0.68,0.934,0.66,1.5524,0.63,2.3284,0.58
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=8",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.3168,0.82,0.7104,0.8,1.192,0.81,1.7728,0.8
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=8",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.1376,0.67,0.3236,0.61,1.212,0.63,0.5796,0.65
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=8",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.1184,0.86,0.2836,0.89,0.3912,0.92,0.5572,0.97
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=15",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.3925,0.68,0.92,0.66,1.5195,0.63,2.2745,0.58
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=15",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.314,0.82,0.702,0.8,1.1675,0.81,1.7315,0.8
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=15",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.1355,0.67,0.318,0.61,1.205,0.63,0.5705,0.65
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=15",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.117,0.86,0.278,0.89,0.3835,0.92,0.546,0.97
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=25",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.3875,0.68,0.9,0.66,1.4725,0.63,2.1975,0.58
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=25",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.31,0.82,0.69,0.8,1.1325,0.81,1.6725,0.8
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=25",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.1325,0.67,0.31,0.61,1.195,0.63,0.5575,0.65
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=25",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.115,0.86,0.27,0.89,0.3725,0.92,0.53,0.97
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=45",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.3775,0.68,0.86,0.66,1.3785,0.63,2.0435,0.58
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=45",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.302,0.82,0.666,0.8,1.0625,0.81,1.5545,0.8
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=45",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.1265,0.67,0.294,0.61,1.175,0.63,0.5315,0.65
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=45",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.111,0.86,0.254,0.89,0.3505,0.92,0.498,0.97
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=85",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.3575,0.68,0.78,0.66,1.1905,0.63,1.7355,0.58
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,SD,Curve=85",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.286,0.82,0.618,0.8,0.9225,0.81,1.3185,0.8
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=85",Steel,Sa(1.0),Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.1145,0.67,0.262,0.61,1.135,0.63,0.4795,0.65
"AmiriHormozaki et. Al. (2015),St,3MSC_SC,NSD,Curve=85",Steel,PGA,Three,Continuous,unknown,Single column,No,Yes,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: AmiriHormozaki, E., Pekcan, G., and Itani, A. (2015) “Analytical fragility functions for horizontally curved steel I-girder highway bridges.” Earthquake Spectra, 31(4), 2235–2254.",g,4,0.103,0.86,0.222,0.89,0.3065,0.92,0.434,0.97
"Choi et. Al. (2003),C,3MSC_MC,NSD",Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Choi, E., DesRoches, R., and Nielson, B. (2004). “Seismic fragility of typical bridges in moderate seismic zones.” Engineering Structures, 26(2), 187–199.",g,4,0.24,0.51,1.31,0.49,2.01,0.57,3.47,0.59
"Choi et. Al. (2003)St,3MSC_MC,NSD",Steel,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Choi, E., DesRoches, R., and Nielson, B. (2004). “Seismic fragility of typical bridges in moderate seismic zones.” Engineering Structures, 26(2), 187–199.",g,4,0.2,0.21,0.34,0.25,0.48,0.34,0.69,0.38
"Choi et. Al. (2003),C,3MSSS_MC,NSD",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Choi, E., DesRoches, R., and Nielson, B. (2004). “Seismic fragility of typical bridges in moderate seismic zones.” Engineering Structures, 26(2), 187–199.",g,4,0.2,0.31,0.56,0.35,0.77,0.42,1.14,0.44
"Choi et. Al. (2003),St,3MSSS_MC,NSD",Steel,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Choi, E., DesRoches, R., and Nielson, B. (2004). “Seismic fragility of typical bridges in moderate seismic zones.” Engineering Structures, 26(2), 187–199.",g,4,0.2,0.19,0.33,0.21,0.47,0.23,0.61,0.25
